CU_Name	Year	catch	exploit	escape	enroute.loss	DUID
Cultus-L	1954	79628	0.78	22036	0	6
Cultus-L	1955	143195	0.85	25922	0	6
Cultus-L	1956	23808	0.63	13718	0	6
Cultus-L	1957	53208	0.72	20375	0	6
Cultus-L	1958	49162	0.79	13324	0	6
Cultus-L	1959	234701	0.83	47779	0	6
Cultus-L	1960	22304	0.56	17640	0	6
Cultus-L	1961	14395	0.52	13396	0	6
Cultus-L	1962	20536	0.43	26997	0	6
Cultus-L	1963	31541	0.61	20303	0	6
Cultus-L	1964	13722	0.55	11067	0	6
Cultus-L	1965	4349	0.64	2455	0	6
Cultus-L	1966	18564	0.52	16919	0	6
Cultus-L	1967	98802	0.75	33198	0	6
Cultus-L	1968	45539	0.64	25314	0	6
Cultus-L	1969	16011	0.73	5942	0	6
Cultus-L	1970	26138	0.65	13941	0	6
Cultus-L	1971	87978	0.91	9128	0	6
Cultus-L	1972	38639	0.79	10366	0	6
Cultus-L	1973	4390	0.87	641	0	6
Cultus-L	1974	35813	0.8	8984	0	6
Cultus-L	1975	36735	0.76	11349	0	6
Cultus-L	1976	26410	0.86	4435	0	6
Cultus-L	1977	401	0.83	82	0	6
Cultus-L	1978	22364	0.82	5076	0	6
Cultus-L	1979	77620	0.71	32031	0	6
Cultus-L	1980	4719	0.74	1657	0	6
Cultus-L	1981	1201	0.82	256	0	6
Cultus-L	1982	52386	0.76	16725	0	6
Cultus-L	1983	87952	0.82	19944	0	6
Cultus-L	1984	5882	0.86	994	0	6
Cultus-L	1985	541	0.56	424	0	6
Cultus-L	1986	9163	0.74	3256	0	6
Cultus-L	1987	68537	0.68	32184	0	6
Cultus-L	1988	8924	0.91	861	0	6
Cultus-L	1989	1679	0.8	418	0	6
Cultus-L	1990	8540	0.82	1860	0	6
Cultus-L	1991	44762	0.69	20157	0	6
Cultus-L	1992	6298	0.84	1203	0	6
Cultus-L	1993	9808	0.9	1063	0	6
Cultus-L	1994	18844	0.81	4399	0	6
Cultus-L	1995	9026	0.47	10316	0	6
Cultus-L	1996	430	0.18	2022	0	6
Cultus-L	1997	846	0.91	88	0	6
Cultus-L	1998	340	0.15	1959	0	6
Cultus-L	1999	1763	0.12	12403	0	6
Cultus-L	2000	805	0.4	1227	0	6
Cultus-L	2001	184	0.26	515	0	6
Cultus-L	2002	816	0.14	5149	0	6
Cultus-L	2003	701	0.24	2184	0	6
Cultus-L	2004	31	0.26	90	0	6
Cultus-L	2005	27	0.12	193	0	6
Cultus-L	2006	1254	0.25	3785	0	6
Cultus-L	2007	133	0.16	689	0	6
Cultus-L	2008	55	0.14	340	0	6
Cultus-L	2009	45	0.05	889	0	6
Cultus-L	2010	10116	0.5	10011	100	6
Cultus-L	2011	5178	0.41	7192	150	6
Francois-Fraser-S	1952	152847	0.79	40384	0	7
Francois-Fraser-S	1953	153270	0.78	42134	0	7
Francois-Fraser-S	1954	768250	0.84	141859	0	7
Francois-Fraser-S	1955	333029	0.87	51739	0	7
Francois-Fraser-S	1956	156838	0.8	38438	0	7
Francois-Fraser-S	1957	134364	0.78	38522	0	7
Francois-Fraser-S	1958	1045691	0.9	112251	0	7
Francois-Fraser-S	1959	591155	0.88	79305	0	7
Francois-Fraser-S	1960	208611	0.84	38880	0	7
Francois-Fraser-S	1961	123215	0.72	46863	0	7
Francois-Fraser-S	1962	206604	0.62	124485	0	7
Francois-Fraser-S	1963	392339	0.74	138794	0	7
Francois-Fraser-S	1964	135153	0.8	30692	0	7
Francois-Fraser-S	1965	118816	0.75	39385	0	7
Francois-Fraser-S	1966	480568	0.83	101529	0	7
Francois-Fraser-S	1967	639383	0.87	91480	0	7
Francois-Fraser-S	1968	153768	0.84	30368	0	7
Francois-Fraser-S	1969	188858	0.79	49211	0	7
Francois-Fraser-S	1970	302891	0.87	45797	0	7
Francois-Fraser-S	1971	514952	0.93	39691	0	7
Francois-Fraser-S	1972	107550	0.75	36700	0	7
Francois-Fraser-S	1973	209162	0.87	30404	0	7
Francois-Fraser-S	1974	204916	0.83	41277	0	7
Francois-Fraser-S	1975	336948	0.66	175941	0	7
Francois-Fraser-S	1976	560492	0.79	150734	0	7
Francois-Fraser-S	1977	97400	0.81	23197	0	7
Francois-Fraser-S	1978	232932	0.8	58898	0	7
Francois-Fraser-S	1979	1562201	0.84	290042	0	7
Francois-Fraser-S	1980	209931	0.74	72050	0	7
Francois-Fraser-S	1981	214818	0.91	21826	0	7
Francois-Fraser-S	1982	375573	0.84	69420	0	7
Francois-Fraser-S	1983	405087	0.77	121692	0	7
Francois-Fraser-S	1984	620143	0.91	60957	0	7
Francois-Fraser-S	1985	411292	0.91	42099	0	7
Francois-Fraser-S	1986	283926	0.79	77177	0	7
Francois-Fraser-S	1987	933163	0.82	211085	0	7
Francois-Fraser-S	1988	535460	0.59	367736	0	7
Francois-Fraser-S	1989	320910	0.88	43179	0	7
Francois-Fraser-S	1990	382274	0.8	94120	0	7
Francois-Fraser-S	1991	378654	0.8	95914	0	7
Francois-Fraser-S	1992	513744	0.79	98087	36588	7
Francois-Fraser-S	1993	461255	0.84	91071	0	7
Francois-Fraser-S	1994	647085	0.68	138026	170963	7
Francois-Fraser-S	1995	273951	0.66	141613	153051	7
Francois-Fraser-S	1996	438501	0.57	333163	0	7
Francois-Fraser-S	1997	146608	0.73	55343	0	7
Francois-Fraser-S	1998	261582	0.31	185592	387908	7
Francois-Fraser-S	1999	49597	0.23	138182	28917	7
Francois-Fraser-S	2000	319583	0.46	372456	0	7
Francois-Fraser-S	2001	92703	0.38	152290	0	7
Francois-Fraser-S	2002	236951	0.42	324128	0	7
Francois-Fraser-S	2003	170607	0.61	78266	28936	7
Francois-Fraser-S	2004	434346	0.64	87669	156042	7
Francois-Fraser-S	2005	97809	0.36	175690	0	7
Francois-Fraser-S	2006	174578	0.56	149142	0	7
Francois-Fraser-S	2007	17365	0.29	41607	0	7
Francois-Fraser-S	2008	67653	0.3	160923	0	7
Francois-Fraser-S	2009	4761	0.12	27793	6948	7
Francois-Fraser-S	2010	166583	0.42	204414	25265	7
Francois-Fraser-S	2011	97613	0.51	85484	9498	7
Nadina-Francois-ES	1952	8085	0.79	2097	0	8
Nadina-Francois-ES	1953	262454	0.86	41403	0	8
Nadina-Francois-ES	1954	15719	0.85	2802	0	8
Nadina-Francois-ES	1955	7526	0.88	901	0	8
Nadina-Francois-ES	1956	6257	0.8	1582	0	8
Nadina-Francois-ES	1957	277671	0.82	60880	0	8
Nadina-Francois-ES	1958	9216	0.85	1572	0	8
Nadina-Francois-ES	1959	9448	0.75	3109	0	8
Nadina-Francois-ES	1960	7660	0.82	1736	0	8
Nadina-Francois-ES	1961	209177	0.85	36118	0	8
Nadina-Francois-ES	1962	4790	0.66	2429	0	8
Nadina-Francois-ES	1963	15494	0.57	11651	0	8
Nadina-Francois-ES	1964	5697	0.74	1731	0	8
Nadina-Francois-ES	1965	111844	0.88	15213	0	8
Nadina-Francois-ES	1966	11056	0.86	1817	0	8
Nadina-Francois-ES	1967	65866	0.85	12022	0	8
Nadina-Francois-ES	1968	24511	0.92	2270	0	8
Nadina-Francois-ES	1969	90171	0.71	36576	0	8
Nadina-Francois-ES	1970	29843	0.86	4752	0	8
Nadina-Francois-ES	1971	141413	0.89	17783	0	8
Nadina-Francois-ES	1972	69372	0.95	3503	0	8
Nadina-Francois-ES	1973	102426	0.84	19479	0	8
Nadina-Francois-ES	1974	26715	0.88	3764	0	8
Nadina-Francois-ES	1975	59993	0.78	17126	0	8
Nadina-Francois-ES	1976	15613	0.9	1793	0	8
Nadina-Francois-ES	1977	49800	0.73	18311	0	8
Nadina-Francois-ES	1978	23174	0.9	2584	0	8
Nadina-Francois-ES	1979	92732	0.61	60075	0	8
Nadina-Francois-ES	1980	10676	0.77	3222	0	8
Nadina-Francois-ES	1981	111598	0.85	19833	0	8
Nadina-Francois-ES	1982	32622	0.93	2349	0	8
Nadina-Francois-ES	1983	65196	0.69	29786	0	8
Nadina-Francois-ES	1984	29209	0.79	7876	0	8
Nadina-Francois-ES	1985	64822	0.82	13825	0	8
Nadina-Francois-ES	1986	5405	0.6	3549	0	8
Nadina-Francois-ES	1987	107419	0.73	39515	0	8
Nadina-Francois-ES	1988	24608	0.73	9311	0	8
Nadina-Francois-ES	1989	40727	0.89	5008	0	8
Nadina-Francois-ES	1990	15489	0.72	6033	0	8
Nadina-Francois-ES	1991	114485	0.65	61174	0	8
Nadina-Francois-ES	1992	57257	0.83	7728	3673	8
Nadina-Francois-ES	1993	15072	0.61	9595	0	8
Nadina-Francois-ES	1994	14930	0.76	2008	2607	8
Nadina-Francois-ES	1995	23845	0.5	23998	0	8
Nadina-Francois-ES	1996	25301	0.4	38654	0	8
Nadina-Francois-ES	1997	67520	0.67	9499	24169	8
Nadina-Francois-ES	1998	4198	0.28	3705	7253	8
Nadina-Francois-ES	1999	16041	0.22	10342	47579	8
Nadina-Francois-ES	2000	251262	0.56	200294	0	8
Nadina-Francois-ES	2001	42710	0.44	54771	0	8
Nadina-Francois-ES	2002	2729	0.59	1925	0	8
Nadina-Francois-ES	2003	6088	0.49	3163	3094	8
Nadina-Francois-ES	2004	120702	0.52	22603	89840	8
Nadina-Francois-ES	2005	17806	0.24	21834	34370	8
Nadina-Francois-ES	2006	19468	0.37	8655	25175	8
Nadina-Francois-ES	2007	1700	0.45	1741	362	8
Nadina-Francois-ES	2008	74884	0.38	65975	56410	8
Nadina-Francois-ES	2009	5287	0.17	11400	12712	8
Nadina-Francois-ES	2010	16229	0.34	26142	5545	8
Nadina-Francois-ES	2011	16738	0.53	10056	5028	8
Harrison(U/S)-L	1952	101009	0.77	29765	0	10
Harrison(U/S)-L	1953	42311	0.83	8789	0	10
Harrison(U/S)-L	1954	153444	0.85	28137	0	10
Harrison(U/S)-L	1955	86871	0.8	21636	0	10
Harrison(U/S)-L	1956	17474	0.67	8490	0	10
Harrison(U/S)-L	1957	179093	0.9	20237	0	10
Harrison(U/S)-L	1958	218018	0.86	35939	0	10
Harrison(U/S)-L	1959	64214	0.88	8363	0	10
Harrison(U/S)-L	1960	14917	0.68	7033	0	10
Harrison(U/S)-L	1961	3679	0.46	4246	0	10
Harrison(U/S)-L	1962	16213	0.5	15924	0	10
Harrison(U/S)-L	1963	24148	0.63	14469	0	10
Harrison(U/S)-L	1964	2560	0.68	1196	0	10
Harrison(U/S)-L	1965	31793	0.64	17924	0	10
Harrison(U/S)-L	1966	34520	0.64	19489	0	10
Harrison(U/S)-L	1967	142085	0.86	22581	0	10
Harrison(U/S)-L	1968	18377	0.83	3799	0	10
Harrison(U/S)-L	1969	129167	0.69	58727	0	10
Harrison(U/S)-L	1970	83122	0.89	10435	0	10
Harrison(U/S)-L	1971	74237	0.94	4990	0	10
Harrison(U/S)-L	1972	125440	0.83	25738	0	10
Harrison(U/S)-L	1973	333672	0.87	48541	0	10
Harrison(U/S)-L	1974	346146	0.84	64093	0	10
Harrison(U/S)-L	1975	114515	0.79	29706	0	10
Harrison(U/S)-L	1976	286649	0.85	49932	0	10
Harrison(U/S)-L	1977	216299	0.8	52627	0	10
Harrison(U/S)-L	1978	190335	0.72	75171	0	10
Harrison(U/S)-L	1979	146494	0.76	45062	0	10
Harrison(U/S)-L	1980	196207	0.72	73830	0	10
