Year,Watershed Group Name,Stock Name(stream),Timing Group,Name,Total,jacks,males,females,spawn%,eff_fem,fpsm,DUID,
2010,North Thompson,Mann Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2010,North Thompson,Dunn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2010,North Thompson,Grouse Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2010,North Thompson,Hemp Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2011,North Thompson,Barriere River,T3,Kamloops - Summer,103,0,48,55,84.15,46,9,11,
2011,North Thompson,Clearwater River,T3,Kamloops - Summer,419,0,189,230,87.16,200,30,11,
2011,North Thompson,Finn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2011,North Thompson,Grouse Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2011,North Thompson,Hemp Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2011,North Thompson,Lemieux Creek,T3,Kamloops - Summer,202,0,95,107,96.43,103,4,11,
2011,North Thompson,Lion Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2011,North Thompson,Mann Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2011,North Thompson,North Thompson River,T3,Kamloops - Summer,4205,0,1893,2312,87.16,2015,297,11,
2011,North Thompson,Raft River,T3,Kamloops - Summer,9243,2,4159,5082,87.16,4430,652,11,
2011,North Thompson,Dunn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
1942,North Thompson,Finn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
1942,North Thompson,Lion Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
1942,North Thompson,Lemieux Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
1941,North Thompson,Finn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
1948,North Thompson,Lemieux Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
1939,North Thompson,Dunn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2012,North Thompson,Raft River,T3,Kamloops - Summer,10008,5,4687,5316,32.17,1710,3606,11,
2012,North Thompson,Barriere River,T3,Kamloops - Summer,2,0,1,1,32.17,0,1,11,
2012,North Thompson,North Thompson River,T3,Kamloops - Summer,185,0,87,98,32.17,32,66,11,
2012,North Thompson,Clearwater River,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2012,North Thompson,Finn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2012,North Thompson,Lemieux Creek,T3,Kamloops - Summer,770,0,382,388,52.31,203,185,11,
2012,North Thompson,Lion Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2012,North Thompson,Mann Creek,T3,Kamloops - Summer,139,0,71,68,47.62,32,36,11,
2012,North Thompson,Grouse Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2012,North Thompson,Hemp Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2012,North Thompson,Dunn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2014,North Thompson,Barriere River,T3,Kamloops - Summer,295,0,127,168,97.53,164,4,11,
2014,North Thompson,Clearwater River,T3,Kamloops - Summer,601,1,259,341,97.53,333,8,11,
2014,North Thompson,Grouse Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2014,North Thompson,Hemp Creek,T3,Kamloops - Summer,58,0,25,33,97.53,32,1,11,
2014,North Thompson,Lemieux Creek,T3,Kamloops - Summer,216,0,78,138,97.53,135,3,11,
2014,North Thompson,North Thompson River,T3,Kamloops - Summer,21602,30,9306,12266,97.53,11963,303,11,
2014,North Thompson,Raft River,T3,Kamloops - Summer,17102,24,7367,9711,97.53,9471,240,11,
2008,North Thompson,Barriere River,T3,Kamloops - Summer,7,0,3,4,70.01,3,1,11,
2008,North Thompson,Clearwater River,T3,Kamloops - Summer,158,0,80,78,70.01,55,23,11,
2008,North Thompson,Dunn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2008,North Thompson,Finn Creek,T3,Kamloops - Summer,4,0,2,2,70.01,1,1,11,
2008,North Thompson,Grouse Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2008,North Thompson,Hemp Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2008,North Thompson,Lemieux Creek,T3,Kamloops - Summer,439,0,243,196,36.93,72,124,11,
2008,North Thompson,Lion Creek,T3,Kamloops - Summer,4,0,2,2,70.01,1,1,11,
2008,North Thompson,Mann Creek,T3,Kamloops - Summer,41,0,20,21,70.01,15,6,11,
2008,North Thompson,North Thompson River,T3,Kamloops - Summer,3226,0,1649,1577,63.89,1008,569,11,
2008,North Thompson,Raft River,T3,Kamloops - Summer,10406,0,5318,5088,70.01,3562,1526,11,
2015,North Thompson,Barriere River,T3,Kamloops - Summer,223,0,97,126,97.12,122,4,11,
2015,North Thompson,Clearwater River,T3,Kamloops - Summer,504,0,220,284,97.12,276,8,11,
2015,North Thompson,Hemp Creek,T3,Kamloops - Summer,126,0,55,71,97.12,69,2,11,
2015,North Thompson,Lemieux Creek,T3,Kamloops - Summer,79,0,34,45,97.12,44,1,11,
2015,North Thompson,North Thompson River,T3,Kamloops - Summer,23072,0,11391,11681,98.98,11562,119,11,
2015,North Thompson,Raft River,T3,Kamloops - Summer,16054,0,6999,9055,97.12,8794,261,11,
2015,North Thompson,Mann Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2015,North Thompson,Dunn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2015,North Thompson,Grouse Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2014,North Thompson,Mann Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
2014,North Thompson,Dunn Creek,T3,Kamloops - Summer,0,0,0,0,0,0,0,11,
1983,Lower Fraser,Kawkawa Creek/Lake,T4,Kawkawa - Late,63,0,31,32,50,16,16,NA,
1986,Lower Fraser,Kawkawa Creek/Lake,T4,Kawkawa - Late,500,0,250,250,100,250,0,NA,
1990,Lower Fraser,Kawkawa Creek/Lake,T4,Kawkawa - Late,11,0,5,6,100,6,0,NA,
1938,Lower Fraser,Sucker Creek,T4,Kawkawa - Late,31,0,15,16,100,16,0,NA,
1939,Lower Fraser,Sucker Creek,T4,Kawkawa - Late,1226,0,613,613,79,484,129,NA,
1941,Lower Fraser,Sucker Creek,T4,Kawkawa - Late,1856,504,676,676,0,0,676,NA,
1950,Lower Fraser,Sucker Creek,T4,Kawkawa - Late,27,0,13,14,0,0,14,NA,
1991,Lower Fraser,Kawkawa Creek/Lake,T4,Kawkawa - Late,311,0,155,156,100,156,0,NA,
1992,Lower Fraser,Kawkawa Creek/Lake,T4,Kawkawa - Late,0,0,0,0,0,0,0,NA,
1938,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,11100,150,2894,8056,95,7653,403,12,
1939,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,15435,155,6112,9168,95,8710,458,12,
1940,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,29580,5810,11110,12660,94.84,12007,653,12,
1941,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,46490,18320,10090,18080,95,17176,904,12,
1942,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,93099,1257,24271,67571,98.05,66253,1318,12,
1943,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,50668,2112,21491,27065,93.3,25252,1813,12,
1944,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,69111,22164,21196,25751,94.12,24237,1514,12,
1945,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,96664,8632,29270,58762,95.45,56088,2674,12,
1946,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,93243,5874,20346,67023,98.84,66246,777,12,
1947,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,123627,36240,34693,52694,93.17,49095,3599,12,
1948,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,122424,38637,24509,59278,92.37,54755,4523,12,
1949,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,74085,3581,25882,44622,97.1,43328,1294,12,
1950,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,72567,8127,19956,44484,93,41370,3114,12,
1951,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,42063,20767,6839,14457,94,13589,868,12,
1952,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,77386,30345,18362,28679,86.28,24744,3935,12,
1953,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,55823,13332,19074,23417,69.55,16287,7130,12,
1954,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,40453,22240,8493,9720,88.84,8635,1085,12,
1955,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,24450,9897,5944,8609,95.08,8185,424,12,
1956,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,57899,8145,18828,30926,87.81,27156,3770,12,
1957,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,24168,9632,7041,7495,94.3,7068,427,12,
1958,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,33055,17889,9030,6136,89.8,5510,626,12,
1959,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,38604,12445,13476,12683,89.79,11388,1295,12,
1960,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,39848,3010,15376,21462,89.45,19198,2264,12,
1961,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,49627,17946,15322,16359,64.49,10550,5809,12,
1962,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,52146,25777,10322,16047,89.18,14311,1736,12,
1963,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,67151,18258,17425,31468,66,20769,10699,12,
1964,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,69939,21031,20271,28637,97.7,27978,659,12,
1965,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,30008,13778,5587,10643,91.79,9769,874,12,
1966,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,81134,61018,5569,14547,92.54,13462,1085,12,
1967,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,58036,18160,17078,22798,77.11,17580,5218,12,
1968,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,83750,25803,16995,40952,75.8,31042,9910,12,
1969,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,64527,27145,14624,22758,62.94,14324,8434,12,
1970,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,72760,42104,9847,20809,92.52,19252,1557,12,
1971,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,32672,8043,7831,16798,96.1,16143,655,12,
1972,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,113097,58581,25009,29507,88.8,26202,3305,12,
1973,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,139295,82642,25942,30711,92.39,28374,2337,12,
1974,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,173463,53826,31224,88413,96.7,85495,2918,12,
1975,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,92928,31390,24919,36619,53.67,19653,16966,12,
1976,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,108121,30816,25962,51343,97.43,50023,1320,12,
1977,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,43139,19294,9660,14185,90.23,12799,1386,12,
1978,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,99857,5075,46382,48400,99.5,48158,242,12,
1979,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,78088,17100,21712,39276,90.34,35168,4108,12,
1980,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,90922,12309,35009,43604,75.19,32786,10818,12,
1981,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,65495,16472,20576,28447,95.53,27175,1272,12,
1982,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,128771,9033,46350,73388,98.59,72353,1035,12,
1983,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,48841,4812,20156,23873,88.44,21069,2804,12,
1984,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,42849,2604,15893,24352,95.38,23226,1126,12,
1985,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,37612,25707,5845,6060,95.01,5757,303,12,
1986,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,348294,12664,135411,200219,98.84,197841,2378,12,
1987,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,168841,3992,71262,93587,95.56,89492,4095,12,
1988,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,177327,10736,77390,89201,84.68,75537,13664,12,
1989,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,46703,17369,13426,15908,98.94,15690,218,12,
1990,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,170262,3489,69300,97473,99.63,97108,365,12,
1949,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,54,0,27,27,100,27,0,12,
1986,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,104,0,42,62,97.3,60,2,12,
1989,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,100,37,29,34,98.94,34,0,12,
1939,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,7,0,3,4,95,4,0,12,
1941,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,106,0,40,66,95,63,3,12,
1944,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,9,1,4,4,100,4,0,12,
1946,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,58,0,29,29,100,29,0,12,
1949,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,23,0,11,12,100,12,0,12,
1950,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,50,0,25,25,100,25,0,12,
1952,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,13,0,6,7,100,7,0,12,
1974,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,257,80,46,131,100,131,0,12,
1975,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,45,2,17,26,100,26,0,12,
1976,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,160,0,45,115,97.43,112,3,12,
1978,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,376,19,175,182,99.5,181,1,12,
1980,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,189,25,73,91,96.36,88,3,12,
1982,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,412,29,148,235,100,235,0,12,
1983,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,261,0,120,141,100,141,0,12,
1984,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,216,0,108,108,100,108,0,12,
1985,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,97,4,46,47,100,47,0,12,
1986,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,283,0,114,169,97.3,164,5,12,
1987,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,110,13,42,55,100,55,0,12,
1988,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,776,47,339,390,84.68,330,60,12,
1990,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,477,10,194,273,99.63,272,1,12,
1989,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,50,19,14,17,98.94,17,0,12,
1952,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,7,0,3,4,100,4,0,12,
1986,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,49,0,20,29,97.3,28,1,12,
1972,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,427,221,94,112,88.8,99,13,12,
1973,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,108,26,38,44,94.44,42,2,12,
1978,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,2,0,1,1,100,1,0,12,
1989,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,108,40,31,37,98.94,37,0,12,
1939,Harrison-Lillooet,25 Mile Creek,T4,Lillooet-Harrison - Late,49,0,20,29,95,28,1,12,
1941,Harrison-Lillooet,25 Mile Creek,T4,Lillooet-Harrison - Late,79,0,39,40,95,38,2,12,
1944,Harrison-Lillooet,25 Mile Creek,T4,Lillooet-Harrison - Late,7,0,4,3,100,3,0,12,
1938,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1939,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1940,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1940,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1940,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1940,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1943,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1943,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1943,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1943,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1943,Harrison-Lillooet,25 Mile Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1944,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1945,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1945,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1945,Harrison-Lillooet,25 Mile Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1951,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1951,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1951,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1978,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1978,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1999,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,49586,670,21883,27033,97.17,26220,813,12,
1990,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1990,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1990,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1991,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,316469,22843,138913,154713,98.3,152077,2636,12,
1991,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,150,0,71,79,98.3,78,1,12,
1991,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,100,0,47,53,98.3,52,1,12,
1992,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,218533,32625,91464,94444,98.94,93445,999,12,
1992,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,700,65,310,325,98.94,322,3,12,
1992,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1992,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1993,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,250425,5471,93434,151520,99.72,151089,431,12,
1993,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,122,0,50,72,100,72,0,12,
1994,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,39445,211,16874,22360,99.8,22315,45,12,
1994,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,95,0,38,57,100,57,0,12,
1995,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,43010,3139,19838,20033,92,18407,1626,12,
1995,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,140,8,62,70,94.44,66,4,12,
1996,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,64123,8011,25800,30312,91.87,27824,2488,12,
1996,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,432,0,165,267,100,267,0,12,
1997,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,50872,670,25640,24562,94.76,23274,1288,12,
1997,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,110,0,51,59,100,59,0,12,
1997,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,5,0,2,3,94.76,3,0,12,
1998,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,296038,369,114299,181370,95.41,172997,8373,12,
1998,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1998,Harrison-Lillooet,Poole Creek,T4,Lillooet-Harrison - Late,211,0,105,106,95,101,5,12,
1998,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,623,0,256,367,95.65,351,16,12,
1999,Harrison-Lillooet,Poole Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1999,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,103,0,46,57,97.17,55,2,12,
2001,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,44727,277,15409,29041,97.66,28361,680,12,
2000,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,13842,0,4916,8926,93.36,8333,593,12,
2000,Harrison-Lillooet,Poole Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
2000,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,628,0,223,405,100,405,0,12,
2002,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,0,0,0,0,98.7,0,0,12,
2002,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,103,0,79,24,90,22,2,12,
2002,Harrison-Lillooet,Poole Creek,T4,Lillooet-Harrison - Late,54,0,39,15,100,15,0,12,
2002,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,805,0,245,560,100,560,0,12,
2003,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,310530,652,155669,154209,98.99,152657,1552,12,
2003,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,25,0,15,10,100,10,0,12,
2003,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,1057,0,531,526,100,526,0,12,
2004,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,37673,56,19963,17654,99.22,17516,138,12,
2004,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,769,0,418,351,100,351,0,12,
2005,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,54444,898,26340,27206,99.67,27117,89,12,
2006,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,266539,80,127539,138920,98.88,137365,1555,12,
2007,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,93527,47,36560,56920,95.38,54290,2630,12,
1981,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1981,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1981,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1980,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1980,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1980,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1952,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1938,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1941,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1942,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1986,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1942,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1938,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1938,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1949,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1942,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1941,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
1946,Harrison-Lillooet,25 Mile Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
2009,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,54156,179,19458,34519,99.87,34475,44,12,
2009,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,2,0,1,1,99.87,1,0,12,
2009,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
2009,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,1003,0,361,642,99.87,641,1,12,
1940,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
2010,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,128465,180,59299,68986,98.23,67762,1224,12,
2010,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
2010,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,0,0,0,0,0,0,0,12,
2010,Harrison-Lillooet,Sampson Creek,T4,Lillooet-Harrison - Late,1557,0,720,837,98.23,822,15,12,
2013,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,80120,35,31554,48531,96.42,46794,1737,12,
2013,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,739,0,291,448,96.42,432,16,12,
