Year,Watershed Group Name,Stock Name(stream),Timing Group,Name,Total,jacks,males,females,spawn%,eff_fem,fpsm,DUID,
1980,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,4354,65,2182,2107,72.2,1521,586,1,
1981,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,821,47,445,329,49.63,163,166,1,
1982,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,232,131,45,56,50,28,28,1,
1983,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,927,116,363,448,40.91,183,265,1,
1984,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,2678,32,1352,1294,42.54,550,744,1,
1985,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,1140,478,306,356,65.68,234,122,1,
1986,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,563,169,165,229,82.76,190,39,1,
1987,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,1757,32,693,1032,71.32,736,296,1,
1988,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,19257,1745,8156,9356,82.84,7750,1606,1,
1989,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,3327,359,1179,1789,91.99,1646,143,1,
1990,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,1390,397,350,643,95,611,32,1,
1939,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1941,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1942,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1943,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1947,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1948,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1949,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
