Proposed DU Name,DUID,Year,EFS
Chilko-ES/Chilko-S,3,1986,165504
Chilko-ES/Chilko-S,3,1987,268111
Chilko-ES/Chilko-S,3,1988,206206
Chilko-ES/Chilko-S,3,1989,42811
Chilko-ES/Chilko-S,3,1990,497991
Chilko-ES/Chilko-S,3,1991,597537
Chilko-ES/Chilko-S,3,1992,319959
Chilko-ES/Chilko-S,3,1993,322298
Chilko-ES/Chilko-S,3,1994,253976
Chilko-ES/Chilko-S,3,1995,298027
Chilko-ES/Chilko-S,3,1996,504469
Chilko-ES/Chilko-S,3,1997,509298
Chilko-ES/Chilko-S,3,1998,467624
Chilko-ES/Chilko-S,3,1999,432565
Chilko-ES/Chilko-S,3,2000,395559
Chilko-ES/Chilko-S,3,2001,331244
Chilko-ES/Chilko-S,3,2002,215050
Chilko-ES/Chilko-S,3,2003,334896
Chilko-ES/Chilko-S,3,2004,49193
Chilko-ES/Chilko-S,3,2005,285065
Chilko-ES/Chilko-S,3,2006,261918
Chilko-ES/Chilko-S,3,2007,156518
Chilko-ES/Chilko-S,3,2008,68731
Chilko-ES/Chilko-S,3,2009,127367
Chilko-ES/Chilko-S,3,2010,1181540
Chilko-ES/Chilko-S,3,2011,457653
Chilko-ES/Chilko-S,3,2012,90758
Chilko-ES/Chilko-S,3,2013,624495
Chilko-ES/Chilko-S,3,2014,665987
Chilko-ES/Chilko-S,3,2015,429012
Chilliwack-ES,5,1950,NA
Chilliwack-ES,5,1951,NA
Chilliwack-ES,5,1952,NA
Chilliwack-ES,5,1953,NA
Chilliwack-ES,5,1954,NA
Chilliwack-ES,5,1955,NA
Chilliwack-ES,5,1956,NA
Chilliwack-ES,5,1957,NA
Chilliwack-ES,5,1958,NA
Chilliwack-ES,5,1959,NA
Chilliwack-ES,5,1960,NA
Chilliwack-ES,5,1961,NA
Chilliwack-ES,5,1962,NA
Chilliwack-ES,5,1963,NA
Chilliwack-ES,5,1964,NA
Chilliwack-ES,5,1965,NA
Chilliwack-ES,5,1966,NA
Chilliwack-ES,5,1967,NA
Chilliwack-ES,5,1968,NA
Chilliwack-ES,5,1969,NA
Chilliwack-ES,5,1970,NA
Chilliwack-ES,5,1971,NA
Chilliwack-ES,5,1972,NA
Chilliwack-ES,5,1973,NA
Chilliwack-ES,5,1974,NA
Chilliwack-ES,5,1975,NA
Chilliwack-ES,5,1976,NA
Chilliwack-ES,5,1977,NA
Chilliwack-ES,5,1978,NA
Chilliwack-ES,5,1979,NA
Chilliwack-ES,5,1980,NA
Chilliwack-ES,5,1981,NA
Chilliwack-ES,5,1982,NA
Chilliwack-ES,5,1983,NA
Chilliwack-ES,5,1984,NA
Chilliwack-ES,5,1985,NA
Chilliwack-ES,5,1986,NA
Chilliwack-ES,5,1987,NA
Chilliwack-ES,5,1988,NA
Chilliwack-ES,5,1989,NA
Chilliwack-ES,5,1990,NA
Chilliwack-ES,5,1991,NA
Chilliwack-ES,5,1992,NA
Chilliwack-ES,5,1993,NA
Chilliwack-ES,5,1994,NA
Chilliwack-ES,5,1995,NA
Chilliwack-ES,5,1996,NA
Chilliwack-ES,5,1997,NA
Chilliwack-ES,5,1998,NA
Chilliwack-ES,5,1999,NA
Chilliwack-ES,5,2000,4790
Chilliwack-ES,5,2001,13441
Chilliwack-ES,5,2002,2157
Chilliwack-ES,5,2003,2879
Chilliwack-ES,5,2004,20387
Chilliwack-ES,5,2005,1970
Chilliwack-ES,5,2006,565
Chilliwack-ES,5,2007,1071
Chilliwack-ES,5,2008,19718
Chilliwack-ES,5,2009,2355
Chilliwack-ES,5,2010,1502
Chilliwack-ES,5,2011,2466
Chilliwack-ES,5,2012,78730
Chilliwack-ES,5,2013,5433
Chilliwack-ES,5,2014,1744
Chilliwack-ES,5,2015,2966
Cultus-L,6,1950,29928
Cultus-L,6,1951,12677
Cultus-L,6,1952,17833
Cultus-L,6,1953,11543
Cultus-L,6,1954,22036
Cultus-L,6,1955,25922
Cultus-L,6,1956,13718
Cultus-L,6,1957,20375
Cultus-L,6,1958,13324
Cultus-L,6,1959,47779
Cultus-L,6,1960,17640
Cultus-L,6,1961,13396
Cultus-L,6,1962,26997
Cultus-L,6,1963,20303
Cultus-L,6,1964,11067
Cultus-L,6,1965,2455
Cultus-L,6,1966,16919
Cultus-L,6,1967,33198
Cultus-L,6,1968,25314
Cultus-L,6,1969,5942
Cultus-L,6,1970,13941
Cultus-L,6,1971,9128
Cultus-L,6,1972,10366
Cultus-L,6,1973,641
Cultus-L,6,1974,8984
Cultus-L,6,1975,11349
Cultus-L,6,1976,4435
Cultus-L,6,1977,82
Cultus-L,6,1978,5076
Cultus-L,6,1979,32031
Cultus-L,6,1980,1657
Cultus-L,6,1981,256
Cultus-L,6,1982,16725
Cultus-L,6,1983,19944
Cultus-L,6,1984,994
Cultus-L,6,1985,424
Cultus-L,6,1986,3256
Cultus-L,6,1987,32184
Cultus-L,6,1988,861
Cultus-L,6,1989,418
Cultus-L,6,1990,1860
Cultus-L,6,1991,20157
Cultus-L,6,1992,1203
Cultus-L,6,1993,1063
Cultus-L,6,1994,4399
Cultus-L,6,1995,10316
Cultus-L,6,1996,2022
Cultus-L,6,1997,88
Cultus-L,6,1998,1959
Cultus-L,6,1999,12392
Cultus-L,6,2000,1227
Cultus-L,6,2001,515
Cultus-L,6,2002,4873
Cultus-L,6,2003,1939
Cultus-L,6,2004,32
Cultus-L,6,2005,154
Cultus-L,6,2006,3386
Cultus-L,6,2007,444
Cultus-L,6,2008,56
Cultus-L,6,2009,101
Cultus-L,6,2010,3815
Cultus-L,6,2011,1830
Cultus-L,6,2012,23
Cultus-L,6,2013,594
Cultus-L,6,2014,2812
Cultus-L,6,2015,961
Francois-Fraser-S,7,1950,77410
Francois-Fraser-S,7,1951,51413
