Stock/CU,DUID,Brood Year,Juveniles
Cultus,6,1955,2.688063
Cultus,6,1956,0.97612
Cultus,6,1957,0.319495
Cultus,6,1958,1.427228
Cultus,6,1959,1.327842
Cultus,6,1960,1.025404
Cultus,6,1961,1.200498
Cultus,6,1962,NA
Cultus,6,1963,NA
Cultus,6,1964,NA
Cultus,6,1965,0.131106
Cultus,6,1966,2.101506
Cultus,6,1967,2.441694
Cultus,6,1968,1.005291
Cultus,6,1969,0.186787
Cultus,6,1970,0.799934
Cultus,6,1971,1.086016
Cultus,6,1972,0.167111
Cultus,6,1973,NA
Cultus,6,1974,0.9863
Cultus,6,1975,1.219211
Cultus,6,1976,0.167982
Cultus,6,1977,NA
Cultus,6,1978,NA
Cultus,6,1979,NA
Cultus,6,1980,NA
Cultus,6,1981,NA
Cultus,6,1982,NA
Cultus,6,1983,NA
Cultus,6,1984,NA
Cultus,6,1985,NA
Cultus,6,1986,NA
Cultus,6,1987,NA
Cultus,6,1988,0.065184
Cultus,6,1989,0.052865
Cultus,6,1990,0.178357
Cultus,6,1991,NA
Cultus,6,1992,NA
Cultus,6,1993,NA
Cultus,6,1994,NA
Cultus,6,1995,NA
Cultus,6,1996,NA
Cultus,6,1997,NA
Cultus,6,1998,NA
Cultus,6,1999,0.062564
Cultus,6,2000,0.009545
Cultus,6,2001,0.013701
Cultus,6,2002,0.117005
Cultus,6,2003,0.098609
Cultus,6,2004,0.107874
Cultus,6,2005,0.097928
Cultus,6,2006,0.389158
Cultus,6,2007,0.340148
Cultus,6,2008,0.145282
Cultus,6,2009,0.174103
Cultus,6,2010,0.318447
Cultus,6,2011,0.119786
Cultus,6,2012,NA
Cultus,6,2013,NA
Weaver,10,1966,14.493
Weaver,10,1967,7.002
Weaver,10,1968,3.584
Weaver,10,1969,37.132
Weaver,10,1970,9.843
Weaver,10,1971,5.233
Weaver,10,1972,19.4
Weaver,10,1973,38.817
Weaver,10,1974,43.627
Weaver,10,1975,25.961
Weaver,10,1976,57.578
Weaver,10,1977,19.859
Weaver,10,1978,43.047
Weaver,10,1979,27.036
Weaver,10,1980,53.003
Weaver,10,1981,27.213
Weaver,10,1982,58.644
Weaver,10,1983,31.375
Weaver,10,1984,45.937
Weaver,10,1985,20.269
Weaver,10,1986,21.771
Weaver,10,1987,29.529
Weaver,10,1988,22.201
Weaver,10,1989,22.49377
Weaver,10,1990,18.90875
Weaver,10,1991,43.78688
Weaver,10,1992,49.32855
Weaver,10,1993,43.66571
Weaver,10,1994,45.83193
Weaver,10,1995,22.74283
Weaver,10,1996,47.90978
Weaver,10,1997,14.00299
Weaver,10,1998,51.4682
Weaver,10,1999,31.54851
Weaver,10,2000,6.73642
Weaver,10,2001,21.28094
Weaver,10,2002,50.75479
Weaver,10,2003,46.79919
Weaver,10,2004,28.47051
Weaver,10,2005,35.56491
Weaver,10,2006,46.38875
Weaver,10,2007,29.48047
Weaver,10,2008,1.40912
Weaver,10,2009,34.73116
Weaver,10,2010,44.48399
Weaver,10,2011,38.94608
Weaver,10,2012,3.67462
Weaver,10,2013,NA
Nadina,8,1973,NA
Nadina,8,1974,2.054
Nadina,8,1975,13.856
Nadina,8,1976,1.962
Nadina,8,1977,14.502
Nadina,8,1978,2.923
Nadina,8,1979,22.065
Nadina,8,1980,1.991
Nadina,8,1981,17.002
Nadina,8,1982,1.415
Nadina,8,1983,19.328
Nadina,8,1984,4.412
Nadina,8,1985,6.700363389
Nadina,8,1986,3.930767535
Nadina,8,1987,19.87102469
Nadina,8,1988,8.596633607
Nadina,8,1989,1.974444666
Nadina,8,1990,2.345642074
Nadina,8,1991,18.31594618
Nadina,8,1992,4.28048813
Nadina,8,1993,2.206122027
Nadina,8,1994,1.993406834
Nadina,8,1995,1.832089228
Nadina,8,1996,20.2945942
Nadina,8,1997,1.536550712
Nadina,8,1998,3.300569641
Nadina,8,1999,4.131116377
Nadina,8,2000,51.61791494
Nadina,8,2001,17.78777998
Nadina,8,2002,1.873758989
Nadina,8,2003,2.242409276
Nadina,8,2004,16.411476
Nadina,8,2005,10.93378166
Nadina,8,2006,7.299827287
Nadina,8,2007,1.350721548
Nadina,8,2008,12.22307431
Nadina,8,2009,5.461032234
Nadina,8,2010,19.25968025
Nadina,8,2011,1.310692918
Nadina,8,2012,16.57132606
Nadina,8,2013,NA
