1,Anderson-Seton-ES
2,Bowron-ES
3,Chilko-ES / S
4,NA
5,Chilliwack-ES
6,Cultus-L
7,Francois-Fraser-S
8,Nadina-Francois-ES
9,Harrison(D/S)-L
10,Harrison(U/S)-L
11,Kamloops-ES 
12,Lillooet-Harrison-L
13,Nahatlatch-ES
14,North Barriere-ES (de novo)
15,Pitt-ES
16,Quesnel-S
17,Seton-L (de novo)
18,Shuswap Complex-L
19,Shuswap Complex-ES
20,Takla-Trembleur-EStu
21,Takla-Trembleur-Stuart-S
22,Taseko-ES
23,Harrison - River Type
24,Widgeon - River Type
